Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
"complicated 3D character models are widely used in fields of entertainment, virtual reality, medicine etc",background_claim,c_o_m_p_l_i_c_a_t_e_d 3_d c_h_a_r_a_c_t_e_r m_o_d_e_l_s w_i_d_e_l_y f_i_e_l_d_s e_n_t_e_r_t_a_i_n_m_e_n_t v_i_r_t_u_a_l r_e_a_l_i_t_y m_e_d_i_c_i_n_e e_t_c,c_o_m_p_l_i_c_a_t_e_d_ _3_d 3_d_ _c_h_a_r_a_c_t_e_r c_h_a_r_a_c_t_e_r_ _m_o_d_e_l_s m_o_d_e_l_s_ _w_i_d_e_l_y w_i_d_e_l_y_ _f_i_e_l_d_s f_i_e_l_d_s_ _e_n_t_e_r_t_a_i_n_m_e_n_t e_n_t_e_r_t_a_i_n_m_e_n_t_ _v_i_r_t_u_a_l v_i_r_t_u_a_l_ _r_e_a_l_i_t_y r_e_a_l_i_t_y_ _m_e_d_i_c_i_n_e m_e_d_i_c_i_n_e_ _e_t_c,c_o_m_p_l_i_c_a_t_e_d_ _3_d_ _c_h_a_r_a_c_t_e_r 3_d_ _c_h_a_r_a_c_t_e_r_ _m_o_d_e_l_s c_h_a_r_a_c_t_e_r_ _m_o_d_e_l_s_ _w_i_d_e_l_y m_o_d_e_l_s_ _w_i_d_e_l_y_ _f_i_e_l_d_s w_i_d_e_l_y_ _f_i_e_l_d_s_ _e_n_t_e_r_t_a_i_n_m_e_n_t f_i_e_l_d_s_ _e_n_t_e_r_t_a_i_n_m_e_n_t_ _v_i_r_t_u_a_l e_n_t_e_r_t_a_i_n_m_e_n_t_ _v_i_r_t_u_a_l_ _r_e_a_l_i_t_y v_i_r_t_u_a_l_ _r_e_a_l_i_t_y_ _m_e_d_i_c_i_n_e r_e_a_l_i_t_y_ _m_e_d_i_c_i_n_e_ _e_t_c,0,0,,
The range of breathtaking realistic 3D models is only limited by the creativity of artists and resolution of devices,background_claim,r_a_n_g_e b_r_e_a_t_h_t_a_k_i_n_g r_e_a_l_i_s_t_i_c 3_d m_o_d_e_l_s l_i_m_i_t_e_d c_r_e_a_t_i_v_i_t_y a_r_t_i_s_t_s r_e_s_o_l_u_t_i_o_n d_e_v_i_c_e_s,r_a_n_g_e_ _b_r_e_a_t_h_t_a_k_i_n_g b_r_e_a_t_h_t_a_k_i_n_g_ _r_e_a_l_i_s_t_i_c r_e_a_l_i_s_t_i_c_ _3_d 3_d_ _m_o_d_e_l_s m_o_d_e_l_s_ _l_i_m_i_t_e_d l_i_m_i_t_e_d_ _c_r_e_a_t_i_v_i_t_y c_r_e_a_t_i_v_i_t_y_ _a_r_t_i_s_t_s a_r_t_i_s_t_s_ _r_e_s_o_l_u_t_i_o_n r_e_s_o_l_u_t_i_o_n_ _d_e_v_i_c_e_s,r_a_n_g_e_ _b_r_e_a_t_h_t_a_k_i_n_g_ _r_e_a_l_i_s_t_i_c b_r_e_a_t_h_t_a_k_i_n_g_ _r_e_a_l_i_s_t_i_c_ _3_d r_e_a_l_i_s_t_i_c_ _3_d_ _m_o_d_e_l_s 3_d_ _m_o_d_e_l_s_ _l_i_m_i_t_e_d m_o_d_e_l_s_ _l_i_m_i_t_e_d_ _c_r_e_a_t_i_v_i_t_y l_i_m_i_t_e_d_ _c_r_e_a_t_i_v_i_t_y_ _a_r_t_i_s_t_s c_r_e_a_t_i_v_i_t_y_ _a_r_t_i_s_t_s_ _r_e_s_o_l_u_t_i_o_n a_r_t_i_s_t_s_ _r_e_s_o_l_u_t_i_o_n_ _d_e_v_i_c_e_s,0,0,,
a production cannot afford major revisions,background_claim,p_r_o_d_u_c_t_i_o_n a_f_f_o_r_d m_a_j_o_r r_e_v_i_s_i_o_n_s,p_r_o_d_u_c_t_i_o_n_ _a_f_f_o_r_d a_f_f_o_r_d_ _m_a_j_o_r m_a_j_o_r_ _r_e_v_i_s_i_o_n_s,p_r_o_d_u_c_t_i_o_n_ _a_f_f_o_r_d_ _m_a_j_o_r a_f_f_o_r_d_ _m_a_j_o_r_ _r_e_v_i_s_i_o_n_s,0,0,can,not
providing a flexible and efficient solution to animation remains an open problem,own_claim,p_r_o_v_i_d_i_n_g f_l_e_x_i_b_l_e e_f_f_i_c_i_e_n_t s_o_l_u_t_i_o_n a_n_i_m_a_t_i_o_n r_e_m_a_i_n_s o_p_e_n p_r_o_b_l_e_m,p_r_o_v_i_d_i_n_g_ _f_l_e_x_i_b_l_e f_l_e_x_i_b_l_e_ _e_f_f_i_c_i_e_n_t e_f_f_i_c_i_e_n_t_ _s_o_l_u_t_i_o_n s_o_l_u_t_i_o_n_ _a_n_i_m_a_t_i_o_n a_n_i_m_a_t_i_o_n_ _r_e_m_a_i_n_s r_e_m_a_i_n_s_ _o_p_e_n o_p_e_n_ _p_r_o_b_l_e_m,p_r_o_v_i_d_i_n_g_ _f_l_e_x_i_b_l_e_ _e_f_f_i_c_i_e_n_t f_l_e_x_i_b_l_e_ _e_f_f_i_c_i_e_n_t_ _s_o_l_u_t_i_o_n e_f_f_i_c_i_e_n_t_ _s_o_l_u_t_i_o_n_ _a_n_i_m_a_t_i_o_n s_o_l_u_t_i_o_n_ _a_n_i_m_a_t_i_o_n_ _r_e_m_a_i_n_s a_n_i_m_a_t_i_o_n_ _r_e_m_a_i_n_s_ _o_p_e_n r_e_m_a_i_n_s_ _o_p_e_n_ _p_r_o_b_l_e_m,0,0,,
Skeleton Subspace Deformation (SSD) is the predominant approach to character skinning at present,background_claim,s_k_e_l_e_t_o_n s_u_b_s_p_a_c_e d_e_f_o_r_m_a_t_i_o_n s_s_d p_r_e_d_o_m_i_n_a_n_t a_p_p_r_o_a_c_h c_h_a_r_a_c_t_e_r s_k_i_n_n_i_n_g p_r_e_s_e_n_t,s_k_e_l_e_t_o_n_ _s_u_b_s_p_a_c_e s_u_b_s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n d_e_f_o_r_m_a_t_i_o_n_ _s_s_d s_s_d_ _p_r_e_d_o_m_i_n_a_n_t p_r_e_d_o_m_i_n_a_n_t_ _a_p_p_r_o_a_c_h a_p_p_r_o_a_c_h_ _c_h_a_r_a_c_t_e_r c_h_a_r_a_c_t_e_r_ _s_k_i_n_n_i_n_g s_k_i_n_n_i_n_g_ _p_r_e_s_e_n_t,s_k_e_l_e_t_o_n_ _s_u_b_s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n s_u_b_s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n_ _s_s_d d_e_f_o_r_m_a_t_i_o_n_ _s_s_d_ _p_r_e_d_o_m_i_n_a_n_t s_s_d_ _p_r_e_d_o_m_i_n_a_n_t_ _a_p_p_r_o_a_c_h p_r_e_d_o_m_i_n_a_n_t_ _a_p_p_r_o_a_c_h_ _c_h_a_r_a_c_t_e_r a_p_p_r_o_a_c_h_ _c_h_a_r_a_c_t_e_r_ _s_k_i_n_n_i_n_g c_h_a_r_a_c_t_e_r_ _s_k_i_n_n_i_n_g_ _p_r_e_s_e_n_t,0,0,,
Driving 3D models in a natural and believable manner is not trivial,background_claim,d_r_i_v_i_n_g 3_d m_o_d_e_l_s n_a_t_u_r_a_l b_e_l_i_e_v_a_b_l_e m_a_n_n_e_r t_r_i_v_i_a_l,d_r_i_v_i_n_g_ _3_d 3_d_ _m_o_d_e_l_s m_o_d_e_l_s_ _n_a_t_u_r_a_l n_a_t_u_r_a_l_ _b_e_l_i_e_v_a_b_l_e b_e_l_i_e_v_a_b_l_e_ _m_a_n_n_e_r m_a_n_n_e_r_ _t_r_i_v_i_a_l,d_r_i_v_i_n_g_ _3_d_ _m_o_d_e_l_s 3_d_ _m_o_d_e_l_s_ _n_a_t_u_r_a_l m_o_d_e_l_s_ _n_a_t_u_r_a_l_ _b_e_l_i_e_v_a_b_l_e n_a_t_u_r_a_l_ _b_e_l_i_e_v_a_b_l_e_ _m_a_n_n_e_r b_e_l_i_e_v_a_b_l_e_ _m_a_n_n_e_r_ _t_r_i_v_i_a_l,0,1,,not
its ease of implementation,data,e_a_s_e i_m_p_l_e_m_e_n_t_a_t_i_o_n,e_a_s_e_ _i_m_p_l_e_m_e_n_t_a_t_i_o_n,,0,0,,
low cost of computing,data,l_o_w c_o_s_t c_o_m_p_u_t_i_n_g,l_o_w_ _c_o_s_t c_o_s_t_ _c_o_m_p_u_t_i_n_g,l_o_w_ _c_o_s_t_ _c_o_m_p_u_t_i_n_g,0,0,,
"SSD is widely used in games, virtual reality and other realtime applications",background_claim,s_s_d w_i_d_e_l_y g_a_m_e_s v_i_r_t_u_a_l r_e_a_l_i_t_y r_e_a_l_t_i_m_e a_p_p_l_i_c_a_t_i_o_n_s,s_s_d_ _w_i_d_e_l_y w_i_d_e_l_y_ _g_a_m_e_s g_a_m_e_s_ _v_i_r_t_u_a_l v_i_r_t_u_a_l_ _r_e_a_l_i_t_y r_e_a_l_i_t_y_ _r_e_a_l_t_i_m_e r_e_a_l_t_i_m_e_ _a_p_p_l_i_c_a_t_i_o_n_s,s_s_d_ _w_i_d_e_l_y_ _g_a_m_e_s w_i_d_e_l_y_ _g_a_m_e_s_ _v_i_r_t_u_a_l g_a_m_e_s_ _v_i_r_t_u_a_l_ _r_e_a_l_i_t_y v_i_r_t_u_a_l_ _r_e_a_l_i_t_y_ _r_e_a_l_t_i_m_e r_e_a_l_i_t_y_ _r_e_a_l_t_i_m_e_ _a_p_p_l_i_c_a_t_i_o_n_s,0,0,,
artists will edit the geometry of characters in the rest pose to fine-tune animations,background_claim,a_r_t_i_s_t_s e_d_i_t g_e_o_m_e_t_r_y c_h_a_r_a_c_t_e_r_s r_e_s_t p_o_s_e f_i_n_e t_u_n_e a_n_i_m_a_t_i_o_n_s,a_r_t_i_s_t_s_ _e_d_i_t e_d_i_t_ _g_e_o_m_e_t_r_y g_e_o_m_e_t_r_y_ _c_h_a_r_a_c_t_e_r_s c_h_a_r_a_c_t_e_r_s_ _r_e_s_t r_e_s_t_ _p_o_s_e p_o_s_e_ _f_i_n_e f_i_n_e_ _t_u_n_e t_u_n_e_ _a_n_i_m_a_t_i_o_n_s,a_r_t_i_s_t_s_ _e_d_i_t_ _g_e_o_m_e_t_r_y e_d_i_t_ _g_e_o_m_e_t_r_y_ _c_h_a_r_a_c_t_e_r_s g_e_o_m_e_t_r_y_ _c_h_a_r_a_c_t_e_r_s_ _r_e_s_t c_h_a_r_a_c_t_e_r_s_ _r_e_s_t_ _p_o_s_e r_e_s_t_ _p_o_s_e_ _f_i_n_e p_o_s_e_ _f_i_n_e_ _t_u_n_e f_i_n_e_ _t_u_n_e_ _a_n_i_m_a_t_i_o_n_s,0,0,will,
This approach is not commonly applied,background_claim,a_p_p_r_o_a_c_h c_o_m_m_o_n_l_y a_p_p_l_i_e_d,a_p_p_r_o_a_c_h_ _c_o_m_m_o_n_l_y c_o_m_m_o_n_l_y_ _a_p_p_l_i_e_d,a_p_p_r_o_a_c_h_ _c_o_m_m_o_n_l_y_ _a_p_p_l_i_e_d,0,1,,not
editing in the rest pose will influence most other poses,background_claim,e_d_i_t_i_n_g r_e_s_t p_o_s_e i_n_f_l_u_e_n_c_e p_o_s_e_s,e_d_i_t_i_n_g_ _r_e_s_t r_e_s_t_ _p_o_s_e p_o_s_e_ _i_n_f_l_u_e_n_c_e i_n_f_l_u_e_n_c_e_ _p_o_s_e_s,e_d_i_t_i_n_g_ _r_e_s_t_ _p_o_s_e r_e_s_t_ _p_o_s_e_ _i_n_f_l_u_e_n_c_e p_o_s_e_ _i_n_f_l_u_e_n_c_e_ _p_o_s_e_s,0,0,will,
SSD is also notorious for artifacts at rotating elbows and extreme poses,background_claim,s_s_d n_o_t_o_r_i_o_u_s a_r_t_i_f_a_c_t_s r_o_t_a_t_i_n_g e_l_b_o_w_s e_x_t_r_e_m_e p_o_s_e_s,s_s_d_ _n_o_t_o_r_i_o_u_s n_o_t_o_r_i_o_u_s_ _a_r_t_i_f_a_c_t_s a_r_t_i_f_a_c_t_s_ _r_o_t_a_t_i_n_g r_o_t_a_t_i_n_g_ _e_l_b_o_w_s e_l_b_o_w_s_ _e_x_t_r_e_m_e e_x_t_r_e_m_e_ _p_o_s_e_s,s_s_d_ _n_o_t_o_r_i_o_u_s_ _a_r_t_i_f_a_c_t_s n_o_t_o_r_i_o_u_s_ _a_r_t_i_f_a_c_t_s_ _r_o_t_a_t_i_n_g a_r_t_i_f_a_c_t_s_ _r_o_t_a_t_i_n_g_ _e_l_b_o_w_s r_o_t_a_t_i_n_g_ _e_l_b_o_w_s_ _e_x_t_r_e_m_e e_l_b_o_w_s_ _e_x_t_r_e_m_e_ _p_o_s_e_s,0,0,,
Example based skinning methods such as Pose Space Deformation (PSD) are candidates for correcting SSD limitations,background_claim,e_x_a_m_p_l_e b_a_s_e_d s_k_i_n_n_i_n_g m_e_t_h_o_d_s p_o_s_e s_p_a_c_e d_e_f_o_r_m_a_t_i_o_n p_s_d c_a_n_d_i_d_a_t_e_s c_o_r_r_e_c_t_i_n_g s_s_d l_i_m_i_t_a_t_i_o_n_s,e_x_a_m_p_l_e_ _b_a_s_e_d b_a_s_e_d_ _s_k_i_n_n_i_n_g s_k_i_n_n_i_n_g_ _m_e_t_h_o_d_s m_e_t_h_o_d_s_ _p_o_s_e p_o_s_e_ _s_p_a_c_e s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n d_e_f_o_r_m_a_t_i_o_n_ _p_s_d p_s_d_ _c_a_n_d_i_d_a_t_e_s c_a_n_d_i_d_a_t_e_s_ _c_o_r_r_e_c_t_i_n_g c_o_r_r_e_c_t_i_n_g_ _s_s_d s_s_d_ _l_i_m_i_t_a_t_i_o_n_s,e_x_a_m_p_l_e_ _b_a_s_e_d_ _s_k_i_n_n_i_n_g b_a_s_e_d_ _s_k_i_n_n_i_n_g_ _m_e_t_h_o_d_s s_k_i_n_n_i_n_g_ _m_e_t_h_o_d_s_ _p_o_s_e m_e_t_h_o_d_s_ _p_o_s_e_ _s_p_a_c_e p_o_s_e_ _s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n_ _p_s_d d_e_f_o_r_m_a_t_i_o_n_ _p_s_d_ _c_a_n_d_i_d_a_t_e_s p_s_d_ _c_a_n_d_i_d_a_t_e_s_ _c_o_r_r_e_c_t_i_n_g c_a_n_d_i_d_a_t_e_s_ _c_o_r_r_e_c_t_i_n_g_ _s_s_d c_o_r_r_e_c_t_i_n_g_ _s_s_d_ _l_i_m_i_t_a_t_i_o_n_s,0,0,,
PSD may be used as a compensation to the underlying SSD,background_claim,p_s_d c_o_m_p_e_n_s_a_t_i_o_n u_n_d_e_r_l_y_i_n_g s_s_d,p_s_d_ _c_o_m_p_e_n_s_a_t_i_o_n c_o_m_p_e_n_s_a_t_i_o_n_ _u_n_d_e_r_l_y_i_n_g u_n_d_e_r_l_y_i_n_g_ _s_s_d,p_s_d_ _c_o_m_p_e_n_s_a_t_i_o_n_ _u_n_d_e_r_l_y_i_n_g c_o_m_p_e_n_s_a_t_i_o_n_ _u_n_d_e_r_l_y_i_n_g_ _s_s_d,0,0,may,
the animator specifies the PSD examples after the SSD has been performed,background_claim,a_n_i_m_a_t_o_r s_p_e_c_i_f_i_e_s p_s_d e_x_a_m_p_l_e_s s_s_d p_e_r_f_o_r_m_e_d,a_n_i_m_a_t_o_r_ _s_p_e_c_i_f_i_e_s s_p_e_c_i_f_i_e_s_ _p_s_d p_s_d_ _e_x_a_m_p_l_e_s e_x_a_m_p_l_e_s_ _s_s_d s_s_d_ _p_e_r_f_o_r_m_e_d,a_n_i_m_a_t_o_r_ _s_p_e_c_i_f_i_e_s_ _p_s_d s_p_e_c_i_f_i_e_s_ _p_s_d_ _e_x_a_m_p_l_e_s p_s_d_ _e_x_a_m_p_l_e_s_ _s_s_d e_x_a_m_p_l_e_s_ _s_s_d_ _p_e_r_f_o_r_m_e_d,0,0,,
"the examples are best interpolated in the rest pose, before the SSD has been applied",background_claim,e_x_a_m_p_l_e_s b_e_s_t i_n_t_e_r_p_o_l_a_t_e_d r_e_s_t p_o_s_e s_s_d a_p_p_l_i_e_d,e_x_a_m_p_l_e_s_ _b_e_s_t b_e_s_t_ _i_n_t_e_r_p_o_l_a_t_e_d i_n_t_e_r_p_o_l_a_t_e_d_ _r_e_s_t r_e_s_t_ _p_o_s_e p_o_s_e_ _s_s_d s_s_d_ _a_p_p_l_i_e_d,e_x_a_m_p_l_e_s_ _b_e_s_t_ _i_n_t_e_r_p_o_l_a_t_e_d b_e_s_t_ _i_n_t_e_r_p_o_l_a_t_e_d_ _r_e_s_t i_n_t_e_r_p_o_l_a_t_e_d_ _r_e_s_t_ _p_o_s_e r_e_s_t_ _p_o_s_e_ _s_s_d p_o_s_e_ _s_s_d_ _a_p_p_l_i_e_d,0,0,,
the action of the SSD and any other deformations must be “inverted” in order to push the example compensation before these operations,background_claim,a_c_t_i_o_n s_s_d d_e_f_o_r_m_a_t_i_o_n_s i_n_v_e_r_t_e_d o_r_d_e_r p_u_s_h e_x_a_m_p_l_e c_o_m_p_e_n_s_a_t_i_o_n o_p_e_r_a_t_i_o_n_s,a_c_t_i_o_n_ _s_s_d s_s_d_ _d_e_f_o_r_m_a_t_i_o_n_s d_e_f_o_r_m_a_t_i_o_n_s_ _i_n_v_e_r_t_e_d i_n_v_e_r_t_e_d_ _o_r_d_e_r o_r_d_e_r_ _p_u_s_h p_u_s_h_ _e_x_a_m_p_l_e e_x_a_m_p_l_e_ _c_o_m_p_e_n_s_a_t_i_o_n c_o_m_p_e_n_s_a_t_i_o_n_ _o_p_e_r_a_t_i_o_n_s,a_c_t_i_o_n_ _s_s_d_ _d_e_f_o_r_m_a_t_i_o_n_s s_s_d_ _d_e_f_o_r_m_a_t_i_o_n_s_ _i_n_v_e_r_t_e_d d_e_f_o_r_m_a_t_i_o_n_s_ _i_n_v_e_r_t_e_d_ _o_r_d_e_r i_n_v_e_r_t_e_d_ _o_r_d_e_r_ _p_u_s_h o_r_d_e_r_ _p_u_s_h_ _e_x_a_m_p_l_e p_u_s_h_ _e_x_a_m_p_l_e_ _c_o_m_p_e_n_s_a_t_i_o_n e_x_a_m_p_l_e_ _c_o_m_p_e_n_s_a_t_i_o_n_ _o_p_e_r_a_t_i_o_n_s,0,0,must,
SSD is the most representative in the family of basic skinning,background_claim,s_s_d r_e_p_r_e_s_e_n_t_a_t_i_v_e f_a_m_i_l_y b_a_s_i_c s_k_i_n_n_i_n_g,s_s_d_ _r_e_p_r_e_s_e_n_t_a_t_i_v_e r_e_p_r_e_s_e_n_t_a_t_i_v_e_ _f_a_m_i_l_y f_a_m_i_l_y_ _b_a_s_i_c b_a_s_i_c_ _s_k_i_n_n_i_n_g,s_s_d_ _r_e_p_r_e_s_e_n_t_a_t_i_v_e_ _f_a_m_i_l_y r_e_p_r_e_s_e_n_t_a_t_i_v_e_ _f_a_m_i_l_y_ _b_a_s_i_c f_a_m_i_l_y_ _b_a_s_i_c_ _s_k_i_n_n_i_n_g,0,0,,
this inverse strategy has a better performance than the same framework without it,own_claim,i_n_v_e_r_s_e s_t_r_a_t_e_g_y b_e_t_t_e_r p_e_r_f_o_r_m_a_n_c_e f_r_a_m_e_w_o_r_k,i_n_v_e_r_s_e_ _s_t_r_a_t_e_g_y s_t_r_a_t_e_g_y_ _b_e_t_t_e_r b_e_t_t_e_r_ _p_e_r_f_o_r_m_a_n_c_e p_e_r_f_o_r_m_a_n_c_e_ _f_r_a_m_e_w_o_r_k,i_n_v_e_r_s_e_ _s_t_r_a_t_e_g_y_ _b_e_t_t_e_r s_t_r_a_t_e_g_y_ _b_e_t_t_e_r_ _p_e_r_f_o_r_m_a_n_c_e b_e_t_t_e_r_ _p_e_r_f_o_r_m_a_n_c_e_ _f_r_a_m_e_w_o_r_k,0,0,,
this approach will improve the quality of deformation,own_claim,a_p_p_r_o_a_c_h i_m_p_r_o_v_e q_u_a_l_i_t_y d_e_f_o_r_m_a_t_i_o_n,a_p_p_r_o_a_c_h_ _i_m_p_r_o_v_e i_m_p_r_o_v_e_ _q_u_a_l_i_t_y q_u_a_l_i_t_y_ _d_e_f_o_r_m_a_t_i_o_n,a_p_p_r_o_a_c_h_ _i_m_p_r_o_v_e_ _q_u_a_l_i_t_y i_m_p_r_o_v_e_ _q_u_a_l_i_t_y_ _d_e_f_o_r_m_a_t_i_o_n,0,0,will,
they are seldom applied to interactive applications,background_claim,s_e_l_d_o_m a_p_p_l_i_e_d i_n_t_e_r_a_c_t_i_v_e a_p_p_l_i_c_a_t_i_o_n_s,s_e_l_d_o_m_ _a_p_p_l_i_e_d a_p_p_l_i_e_d_ _i_n_t_e_r_a_c_t_i_v_e i_n_t_e_r_a_c_t_i_v_e_ _a_p_p_l_i_c_a_t_i_o_n_s,s_e_l_d_o_m_ _a_p_p_l_i_e_d_ _i_n_t_e_r_a_c_t_i_v_e a_p_p_l_i_e_d_ _i_n_t_e_r_a_c_t_i_v_e_ _a_p_p_l_i_c_a_t_i_o_n_s,0,0,,
the high cost of computing,data,h_i_g_h c_o_s_t c_o_m_p_u_t_i_n_g,h_i_g_h_ _c_o_s_t c_o_s_t_ _c_o_m_p_u_t_i_n_g,h_i_g_h_ _c_o_s_t_ _c_o_m_p_u_t_i_n_g,0,0,,
complicated algorithms,data,c_o_m_p_l_i_c_a_t_e_d a_l_g_o_r_i_t_h_m_s,c_o_m_p_l_i_c_a_t_e_d_ _a_l_g_o_r_i_t_h_m_s,,0,0,,
this category can generate more believable animation effects compared to its geometric counterpart,background_claim,c_a_t_e_g_o_r_y g_e_n_e_r_a_t_e b_e_l_i_e_v_a_b_l_e a_n_i_m_a_t_i_o_n e_f_f_e_c_t_s c_o_m_p_a_r_e_d g_e_o_m_e_t_r_i_c c_o_u_n_t_e_r_p_a_r_t,c_a_t_e_g_o_r_y_ _g_e_n_e_r_a_t_e g_e_n_e_r_a_t_e_ _b_e_l_i_e_v_a_b_l_e b_e_l_i_e_v_a_b_l_e_ _a_n_i_m_a_t_i_o_n a_n_i_m_a_t_i_o_n_ _e_f_f_e_c_t_s e_f_f_e_c_t_s_ _c_o_m_p_a_r_e_d c_o_m_p_a_r_e_d_ _g_e_o_m_e_t_r_i_c g_e_o_m_e_t_r_i_c_ _c_o_u_n_t_e_r_p_a_r_t,c_a_t_e_g_o_r_y_ _g_e_n_e_r_a_t_e_ _b_e_l_i_e_v_a_b_l_e g_e_n_e_r_a_t_e_ _b_e_l_i_e_v_a_b_l_e_ _a_n_i_m_a_t_i_o_n b_e_l_i_e_v_a_b_l_e_ _a_n_i_m_a_t_i_o_n_ _e_f_f_e_c_t_s a_n_i_m_a_t_i_o_n_ _e_f_f_e_c_t_s_ _c_o_m_p_a_r_e_d e_f_f_e_c_t_s_ _c_o_m_p_a_r_e_d_ _g_e_o_m_e_t_r_i_c c_o_m_p_a_r_e_d_ _g_e_o_m_e_t_r_i_c_ _c_o_u_n_t_e_r_p_a_r_t,0,0,can,
Pose Space Deformation,background_claim,p_o_s_e s_p_a_c_e d_e_f_o_r_m_a_t_i_o_n,p_o_s_e_ _s_p_a_c_e s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n,p_o_s_e_ _s_p_a_c_e_ _d_e_f_o_r_m_a_t_i_o_n,0,0,,
